Channel,Amplitude,mean,std
130,400,-100.0,
130,500,-100.0,
130,600,-100.0,
131,100,-100.0,
131,200,-100.0,
131,300,-100.0,
131,400,-100.0,
131,500,-100.0,
131,600,-100.0,
132,100,-100.0,
132,200,-100.0,
132,300,-100.0,
132,400,-100.0,
132,500,-100.0,
132,600,-100.0,
133,100,-100.0,
133,200,-100.0,
133,300,-100.0,
133,400,-100.0,
133,500,-100.0,
133,600,-100.0,
134,100,-100.0,
134,200,-100.0,
134,300,-100.0,
134,400,-100.0,
134,500,-100.0,
134,600,-100.0,
135,100,-100.0,
135,200,-100.0,
135,300,-100.0,
135,400,-100.0,
135,500,-100.0,
135,600,-100.0,
136,100,-100.0,
136,200,-100.0,
136,300,-100.0,
136,400,-100.0,
136,500,-100.0,
136,600,-100.0,
137,100,-100.0,
137,200,-100.0,
137,300,-100.0,
137,400,-100.0,
137,500,-100.0,
137,600,-100.0,
138,100,-100.0,
138,200,-100.0,
138,300,-100.0,
138,400,-100.0,
138,500,-100.0,
138,600,-100.0,
139,100,-100.0,
139,200,-100.0,
139,300,-100.0,
139,400,-100.0,
139,500,-100.0,
139,600,-100.0,
140,100,-100.0,
140,200,-100.0,
140,300,-100.0,
140,400,-100.0,
140,500,-100.0,
140,600,-100.0,
141,100,-100.0,
141,200,-100.0,
141,300,-100.0,
141,400,-100.0,
141,500,-100.0,
141,600,-100.0,
142,100,-100.0,
142,200,-100.0,
142,300,-100.0,
142,400,-100.0,
142,500,-100.0,
142,600,-100.0,
143,100,-100.0,
143,200,-100.0,
143,300,-100.0,
143,400,-100.0,
143,500,-100.0,
143,600,-100.0,
144,100,-100.0,
144,200,-100.0,
144,300,-100.0,
144,400,-100.0,
144,500,-100.0,
144,600,-100.0,
145,100,-100.0,
145,200,-100.0,
145,300,-100.0,
145,400,-100.0,
145,500,-100.0,
145,600,-100.0,
146,100,-100.0,
146,200,-100.0,
146,300,-100.0,
146,400,-100.0,
146,500,-100.0,
146,600,-100.0,
147,100,-100.0,
147,200,-100.0,
147,300,-100.0,
147,400,-100.0,
147,500,-100.0,
147,600,-100.0,
148,100,-100.0,
148,200,-100.0,
148,300,-100.0,
148,400,-100.0,
148,500,-100.0,
148,600,-100.0,
149,100,-100.0,
149,200,-100.0,
149,300,-100.0,
149,400,-100.0,
149,500,-100.0,
149,600,-100.0,
150,100,-100.0,
150,200,-100.0,
150,300,-100.0,
150,400,-100.0,
150,500,-100.0,
150,600,-100.0,
151,100,-100.0,
151,200,-100.0,
151,300,-100.0,
151,400,-100.0,
151,500,-100.0,
151,600,-100.0,
