Channel,Time,Phase,ADC,TOT,ToA
24,187.5,7,111,0,0
24,189.0625,7,111,0,0
24,212.5,7,109,0,0
24,214.0625,7,111,0,0
24,237.5,7,108,0,0
24,239.0625,7,109,0,0
25,12.5,7,103,0,0
25,14.0625,7,102,0,0
25,37.5,7,101,0,0
25,39.0625,7,103,0,0
25,62.5,7,102,0,0
25,64.0625,7,101,0,0
25,87.5,7,157,0,0
25,89.0625,7,167,0,0
25,112.5,7,145,0,768
25,114.0625,7,140,0,750
25,137.5,7,119,0,0
25,139.0625,7,119,0,0
25,162.5,7,111,0,0
25,164.0625,7,111,0,0
25,187.5,7,109,0,0
25,189.0625,7,110,0,0
25,212.5,7,109,0,0
25,214.0625,7,108,0,0
25,237.5,7,106,0,0
25,239.0625,7,106,0,0
26,12.5,7,95,0,0
26,14.0625,7,97,0,0
26,37.5,7,97,0,0
26,39.0625,7,98,0,0
26,62.5,7,100,0,0
26,64.0625,7,99,0,0
26,87.5,7,159,0,0
26,89.0625,7,171,0,0
26,112.5,7,143,0,768
26,114.0625,7,141,0,747
26,137.5,7,119,0,0
26,139.0625,7,114,0,0
26,162.5,7,111,0,0
26,164.0625,7,110,0,0
26,187.5,7,106,0,0
26,189.0625,7,106,0,0
26,212.5,7,107,0,0
26,214.0625,7,104,0,0
26,237.5,7,106,0,0
26,239.0625,7,104,0,0
27,12.5,7,103,0,0
27,14.0625,7,103,0,0
27,37.5,7,103,0,0
27,39.0625,7,102,0,0
27,62.5,7,103,0,0
27,64.0625,7,104,0,0
27,87.5,7,155,0,0
27,89.0625,7,165,0,0
27,112.5,7,143,0,768
27,114.0625,7,141,0,737
27,137.5,7,119,0,0
27,139.0625,7,119,0,0
27,162.5,7,113,0,0
27,164.0625,7,111,0,0
27,187.5,7,110,0,0
27,189.0625,7,111,0,0
27,212.5,7,108,0,0
27,214.0625,7,110,0,0
27,237.5,7,106,0,0
27,239.0625,7,108,0,0
28,12.5,7,100,0,0
28,14.0625,7,102,0,0
28,37.5,7,101,0,0
28,39.0625,7,99,0,0
28,62.5,7,99,0,0
28,64.0625,7,101,0,0
28,87.5,7,171,0,0
28,89.0625,7,180,0,0
28,112.5,7,138,0,722
28,114.0625,7,139,0,624
28,137.5,7,116,0,0
28,139.0625,7,116,0,0
28,162.5,7,111,0,0
28,164.0625,7,111,0,0
28,187.5,7,106,0,0
28,189.0625,7,107,0,0
28,212.5,7,107,0,0
28,214.0625,7,107,0,0
28,237.5,7,104,0,0
28,239.0625,7,104,0,0
29,12.5,7,98,0,0
29,14.0625,7,101,0,0
29,37.5,7,99,0,0
29,39.0625,7,100,0,0
29,62.5,7,98,0,0
29,64.0625,7,100,0,0
29,87.5,7,157,0,0
29,89.0625,7,168,0,0
29,112.5,7,142,0,768
29,114.0625,7,140,0,733
29,137.5,7,116,0,0
29,139.0625,7,118,0,0
29,162.5,7,111,0,0
29,164.0625,7,110,0,0
29,187.5,7,106,0,0
29,189.0625,7,108,0,0
29,212.5,7,106,0,0
29,214.0625,7,105,0,0
29,237.5,7,105,0,0
29,239.0625,7,104,0,0
30,12.5,7,103,0,0
30,14.0625,7,105,0,0
30,37.5,7,103,0,0
30,39.0625,7,103,0,0
30,62.5,7,102,0,0
30,64.0625,7,104,0,0
30,87.5,7,156,0,0
30,89.0625,7,168,0,0
30,112.5,7,143,0,784
30,114.0625,7,140,0,762
30,137.5,7,119,0,0
30,139.0625,7,119,0,0
